Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,22,73,,,,15
,,,,,1,1,52,58,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,25,41,,,,15
,,,,,1,2,75,74,,,,15
1,1,0,1,2,3,1,19,21,180,300,2,5
2,1,0,1,2,3,1,82,80,420,540,4,5
3,1,0,1,1,3,1,17,16,60,180,4,5
4,1,0,1,2,3,1,32,28,0,300,2,5
5,1,0,1,2,3,1,66,6,300,420,1,5
6,1,0,1,1,3,2,55,18,60,180,3,5
7,1,0,1,2,3,2,11,8,420,540,2,5
8,1,0,1,1,3,2,96,23,60,180,2,5
9,1,0,1,2,3,2,32,69,420,540,2,5
10,1,0,1,2,3,2,64,0,60,180,3,5
11,2,465,4,2,3,1,21,37,300,600,4,5
12,6,575,7,2,3,1,39,15,0,300,2,5
13,7,338,8,1,3,1,85,32,60,180,2,5
14,1,143,1,2,3,1,71,25,420,540,1,5
15,7,285,8,1,3,1,19,16,180,300,3,5
16,2,201,3,2,3,1,44,54,0,300,2,5
17,3,205,4,1,3,1,31,66,180,300,2,5
18,7,160,7,2,3,1,20,98,300,420,2,5
19,2,275,2,2,3,1,23,97,300,420,2,5
20,6,72,6,2,3,1,15,100,180,300,3,5
21,2,260,4,2,3,1,81,24,420,540,1,5
22,5,592,7,1,3,1,57,58,180,300,1,5
23,5,150,5,2,3,1,28,87,300,420,3,5
24,6,269,6,2,3,1,97,42,420,540,1,5
25,2,198,2,2,3,1,24,41,300,600,2,5
26,4,392,4,2,3,1,69,40,420,540,4,5
27,3,18,3,1,3,1,15,83,60,180,2,5
28,2,282,2,2,3,1,11,34,300,600,2,5
29,7,168,8,2,3,1,58,18,0,300,1,5
30,6,73,6,2,3,1,83,12,300,600,4,5
31,3,132,3,2,3,1,47,68,180,300,4,5
32,1,352,2,2,3,1,78,19,0,300,2,5
33,1,413,1,2,3,1,98,15,420,540,2,5
34,2,23,2,1,3,1,41,19,60,180,4,5
35,4,26,6,1,3,1,21,80,180,300,4,5
36,3,380,4,1,3,1,86,34,60,180,3,5
37,7,298,8,2,3,1,87,37,0,300,3,5
38,4,259,4,2,3,1,66,48,300,600,3,5
39,5,579,7,2,3,1,32,99,420,540,2,5
40,7,232,7,2,3,1,42,4,300,600,1,5
41,1,72,1,2,3,1,59,23,180,300,4,5
42,1,431,3,1,3,1,74,87,180,300,4,5
43,5,374,5,2,3,1,27,5,420,540,2,5
44,4,486,6,2,3,1,9,2,300,600,2,5
